feature,scores,log2FoldChange,pvalue,padj,symbol
ENSG00000213977,-7.0319133,-0.64032024,2.037202790961669e-12,5.19625697802526e-10,TAX1BP3
ENSG00000076003,-7.023087,-0.8316792,2.170191813487443e-12,5.504387344844992e-10,MCM6
ENSG00000184500,-7.0202785,-0.6456248,2.214265301602009e-12,5.592772846575508e-10,PROS1
ENSG00000125352,7.016467,0.964887,2.2754862403468143e-12,5.723556033343715e-10,RNF113A
ENSG00000160867,-7.0113516,-0.67734945,2.3602669409562254e-12,5.912273623711795e-10,FGFR4
ENSG00000178999,-7.003227,-0.8917233,2.5013262586215703e-12,6.239831130509505e-10,AURKB
ENSG00000174684,-7.0000176,-0.6352423,2.5593034642043432e-12,6.358295766254225e-10,B4GAT1
ENSG00000120686,6.9937987,0.73759204,2.675409129540649e-12,6.619617388719371e-10,UFM1
ENSG00000101057,-6.99079,-0.8767958,2.73342847745285e-12,6.735678897346111e-10,MYBL2
ENSG00000084073,-6.986577,-0.68730927,2.8167333992150304e-12,6.912856758178783e-10,ZMPSTE24
ENSG00000100162,-6.9848723,-0.6893224,2.8511554062832202e-12,6.969120547317844e-10,CENPM
ENSG00000249784,6.9646115,0.8215971,3.293117101319453e-12,8.017086970477266e-10,SCARNA22
ENSG00000003147,6.961502,1.0255048,3.366638699150657e-12,8.163290852152548e-10,ICA1
ENSG00000171564,-6.9452534,-0.5445552,3.777821979670487e-12,9.123816357993836e-10,FGB
ENSG00000104853,-6.9386334,-0.7558179,3.959113192811328e-12,9.523709628374204e-10,CLPTM1
ENSG00000189114,6.930509,1.0369108,4.1932936881334466e-12,1.0047164825334444e-09,BLOC1S3
ENSG00000071537,6.917269,1.1443846,4.60432803904763e-12,1.0988573283426311e-09,SEL1L
ENSG00000171560,-6.909145,-0.6166987,4.875842208660539e-12,1.1590928582227186e-09,FGA
ENSG00000147274,-6.8971086,-0.40970346,5.307160356027527e-12,1.2566982563360652e-09,RBMX
ENSG00000163507,-6.8813615,-0.9776089,5.9283262595424516e-12,1.3983237724793926e-09,CIP2A
ENSG00000197712,6.852575,0.7356975,7.253238303483359e-12,1.7042017547242548e-09,FAM114A1
ENSG00000187514,-6.8427453,-0.34383404,7.7689661198291e-12,1.8113344508381548e-09,PTMA
ENSG00000210082,6.843147,0.39145702,7.747229651787134e-12,1.8113344508381548e-09,MT-RNR2
ENSG00000217128,6.8174696,1.0080241,9.265806511520036e-12,2.1520456893556824e-09,FNIP1
ENSG00000163468,-6.8090444,-0.28924337,9.824928874187685e-12,2.2731960436045166e-09,CCT3
ENSG00000063046,6.805935,0.4398685,1.0039512656383513e-11,2.3140122346665863e-09,EIF4B
ENSG00000135535,-6.801321,-0.4765843,1.0366413423571787e-11,2.3803091489526448e-09,CD164
ENSG00000122026,6.793999,0.23325111,1.0906711623584941e-11,2.494920573245644e-09,RPL21
ENSG00000196792,6.7890844,0.55255353,1.1284751008412095e-11,2.571692937514785e-09,STRN3
ENSG00000130255,6.783367,0.28645536,1.1740678932835497e-11,2.6655738435563858e-09,RPL36
ENSG00000182774,6.764109,0.2836039,1.341318083001284e-11,3.0339313758751804e-09,RPS17
ENSG00000090861,6.7604985,0.6196651,1.3751780375923215e-11,3.0989560394352767e-09,AARS1
ENSG00000162772,6.7448516,2.6881056,1.531836490990332e-11,3.439199861012702e-09,ATF3
ENSG00000149925,-6.742645,-0.36333433,1.5552906654023494e-11,3.478972872547049e-09,ALDOA
ENSG00000171793,-6.7409396,-0.63294566,1.57365487689859e-11,3.5071097420116044e-09,CTPS1
ENSG00000170860,-6.7225847,-0.2938177,1.7852900362943154e-11,3.9641940186859014e-09,LSM3
ENSG00000152804,-6.715363,-0.77568,1.8759870461828986e-11,4.150381706297852e-09,HHEX
ENSG00000173692,-6.7121534,-0.40467262,1.9177307005247083e-11,4.227306084912993e-09,PSMD1
ENSG00000269893,6.6946006,0.68385047,2.1626148695083753e-11,4.749838796185805e-09,SNHG8
